"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1330,"Upper East","2019",0.12,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2019",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2019",1.71,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2019",1.85,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2018",4.68,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2018",1.13,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2018",3.66,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2018",1.81,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2018",16.36,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2018",1.00,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2018",0.33,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2018",1.76,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2018",0.82,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2018",5.11,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2017",8.22,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2017",14.92,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2017",2.65,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2017",0.97,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2017",11.17,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2017",3.17,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2017",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2017",1.21,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2017",1.75,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2017",4.63,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2016",15.23,"VHI % below 35 "
