"Country or Area","Year","Value","Value Footnotes","Unit"
"Algeria","2015","3548.0","","million cubic metres"
"Algeria","2014","3038.0","","million cubic metres"
"Algeria","2012","6422.0","","million cubic metres"
"Algeria","2011","6227.0","","million cubic metres"
"Algeria","2010","6187.0","","million cubic metres"
"Algeria","2009","6013.0","","million cubic metres"
"Algeria","2008","5768.0","","million cubic metres"
"Algeria","2007","5070.0","","million cubic metres"
"Algeria","2006","4770.0","","million cubic metres"
"Algeria","2005","4718.0","","million cubic metres"
"Algeria","2004","4518.0","","million cubic metres"
"Algeria","2003","4318.0","","million cubic metres"
"Algeria","2002","4266.0","","million cubic metres"
"Algeria","2001","4266.0","","million cubic metres"
"Algeria","2000","4266.0","","million cubic metres"
"Algeria","1999","3275.0","","million cubic metres"
"Andorra","2018","6.4","","million cubic metres"
"Andorra","2017","6.3","","million cubic metres"
"Andorra","2016","6.2","","million cubic metres"
"Andorra","2015","6.0","","million cubic metres"
"Andorra","2014","6.0","","million cubic metres"
"Andorra","2013","5.6","","million cubic metres"
"Andorra","2012","6.4","","million cubic metres"
"Andorra","2011","6.5","","million cubic metres"
"Andorra","2010","6.6","","million cubic metres"
"Andorra","2009","6.8","","million cubic metres"
"Andorra","2008","7.2","","million cubic metres"
"Andorra","2007","7.6","","million cubic metres"
"Antigua and Barbuda","2021","4.4","","million cubic metres"
"Antigua and Barbuda","2020","4.2","","million cubic metres"
"Antigua and Barbuda","2019","5.4","","million cubic metres"
"Antigua and Barbuda","2018","5.0","","million cubic metres"
"Antigua and Barbuda","2017","7.0","","million cubic metres"
"Antigua and Barbuda","2016","4.0","","million cubic metres"
"Antigua and Barbuda","2015","3.6","","million cubic metres"
"Antigua and Barbuda","2014","3.5","","million cubic metres"
"Antigua and Barbuda","2013","4.3","","million cubic metres"
"Antigua and Barbuda","2012","5.3","","million cubic metres"
"Antigua and Barbuda","2011","5.2","","million cubic metres"
"Antigua and Barbuda","2010","4.9","","million cubic metres"
"Antigua and Barbuda","2009","5.0","","million cubic metres"
"Antigua and Barbuda","2008","5.1","","million cubic metres"
"Antigua and Barbuda","2007","4.7","","million cubic metres"
"Antigua and Barbuda","2006","3.5","","million cubic metres"
"Antigua and Barbuda","2005","4.0","","million cubic metres"
"Antigua and Barbuda","2004","3.6","","million cubic metres"
"Antigua and Barbuda","2003","3.0","","million cubic metres"
"Antigua and Barbuda","2002","3.3","","million cubic metres"
"Antigua and Barbuda","2001","3.0","","million cubic metres"
"Antigua and Barbuda","2000","4.6","","million cubic metres"
"Antigua and Barbuda","1995","2.3","","million cubic metres"
"Antigua and Barbuda","1990","2.0","","million cubic metres"
"Armenia","2021","147.5","","million cubic metres"
"Armenia","2020","139.3","","million cubic metres"
"Armenia","2019","133.9","","million cubic metres"
"Armenia","2018","121.3","","million cubic metres"
"Armenia","2017","121.2","","million cubic metres"
"Armenia","2016","119.7","","million cubic metres"
"Armenia","2015","117.7","","million cubic metres"
"Armenia","2014","112.3","","million cubic metres"
"Armenia","2013","108.8","","million cubic metres"
"Armenia","2012","104.4","","million cubic metres"
"Armenia","2011","96.8","","million cubic metres"
"Armenia","2010","93.3","","million cubic metres"
"Armenia","2009","93.4","","million cubic metres"
"Armenia","2008","99.5","","million cubic metres"
"Armenia","2007","93.7","","million cubic metres"
"Armenia","2006","134.3","","million cubic metres"
"Armenia","2005","116.3","","million cubic metres"
"Armenia","2004","124.9","","million cubic metres"
"Armenia","2003","163.9","","million cubic metres"
"Armenia","2002","182.3","","million cubic metres"
"Armenia","2001","196.4","","million cubic metres"
"Armenia","2000","204.8","","million cubic metres"
"Armenia","1999","215.6","","million cubic metres"
"Armenia","1998","251.6","","million cubic metres"
"Armenia","1997","338.7","","million cubic metres"
"Armenia","1996","407.6","","million cubic metres"
"Armenia","1995","436.5","","million cubic metres"
"Armenia","1990","868.2","","million cubic metres"
"Australia","2017","3450.0","","million cubic metres"
"Australia","2016","3390.0","","million cubic metres"
"Australia","2015","5124.0","","million cubic metres"
"Australia","2014","5308.0","","million cubic metres"
"Australia","2013","5390.0","","million cubic metres"
"Australia","2012","4686.0","","million cubic metres"
"Australia","2011","2952.0","","million cubic metres"
"Australia","2010","3196.0","","million cubic metres"
"Australia","2009","3453.0","","million cubic metres"
"Australia","2005","10331.4","","million cubic metres"
"Australia","2001","12388.8","","million cubic metres"
"Austria","2010","587.0","","million cubic metres"
"Austria","1999","549.3","","million cubic metres"
"Austria","1998","581.4","","million cubic metres"
"Austria","1997","604.3","","million cubic metres"
"Austria","1996","609.5","","million cubic metres"
"Austria","1995","611.1","","million cubic metres"
"Austria","1994","618.8","","million cubic metres"
"Austria","1993","625.8","","million cubic metres"
"Austria","1992","632.8","","million cubic metres"
"Austria","1991","604.4","","million cubic metres"
"Austria","1990","603.7","","million cubic metres"
"Azerbaijan","2021","340.9","","million cubic metres"
"Azerbaijan","2020","345.9","","million cubic metres"
"Azerbaijan","2019","330.2","","million cubic metres"
"Azerbaijan","2018","303.0","","million cubic metres"
"Azerbaijan","2017","275.2","","million cubic metres"
"Azerbaijan","2016","300.4","","million cubic metres"
"Azerbaijan","2015","310.1","","million cubic metres"
"Azerbaijan","2014","303.2","","million cubic metres"
"Azerbaijan","2013","290.3","","million cubic metres"
"Azerbaijan","2012","268.3","","million cubic metres"
"Azerbaijan","2011","293.1","","million cubic metres"
"Azerbaijan","2010","380.6","","million cubic metres"
"Azerbaijan","2009","362.7","","million cubic metres"
"Azerbaijan","2008","362.7","","million cubic metres"
"Azerbaijan","2007","363.7","","million cubic metres"
"Azerbaijan","2006","493.1","","million cubic metres"
"Azerbaijan","2005","497.6","","million cubic metres"
"Azerbaijan","2004","504.7","","million cubic metres"
"Azerbaijan","2003","422.3","","million cubic metres"
"Bahrain","2021","284.0","","million cubic metres"
"Bahrain","2020","280.7","","million cubic metres"
"Bahrain","2019","265.2","","million cubic metres"
"Bahrain","2018","264.4","","million cubic metres"
"Bahrain","2017","261.6","","million cubic metres"
"Bahrain","2016","260.2","","million cubic metres"
"Bahrain","2015","260.5","","million cubic metres"
"Bahrain","2014","263.5","","million cubic metres"
"Bahrain","2013","252.0","","million cubic metres"
"Bahrain","2012","244.4","","million cubic metres"
"Bahrain","2011","242.9","","million cubic metres"
"Bahrain","2010","235.1","","million cubic metres"
"Bahrain","2009","219.9","","million cubic metres"
"Bahrain","2008","199.6","","million cubic metres"
"Bahrain","2007","171.8","","million cubic metres"
"Bahrain","2006","169.6","","million cubic metres"
"Bahrain","2005","162.4","","million cubic metres"
"Bahrain","2004","157.1","","million cubic metres"
"Bahrain","2003","149.1","","million cubic metres"
"Bahrain","2002","141.4","","million cubic metres"
"Bahrain","2001","138.9","","million cubic metres"
"Bahrain","2000","129.8","","million cubic metres"
"Bangladesh","2015","776.3","","million cubic metres"
"Bangladesh","2014","84.4","","million cubic metres"
"Bangladesh","2013","83.9","","million cubic metres"
"Bangladesh","2012","80.2","","million cubic metres"
"Bangladesh","2011","24.0","","million cubic metres"
"Bangladesh","2010","22.1","","million cubic metres"
"Bangladesh","2009","20.7","","million cubic metres"
"Belarus","2021","453.4","","million cubic metres"
"Belarus","2020","449.2","","million cubic metres"
"Belarus","2019","449.0","","million cubic metres"
"Belarus","2018","448.8","","million cubic metres"
"Belarus","2017","454.3","","million cubic metres"
"Belarus","2016","464.1","","million cubic metres"
"Belarus","2015","478.1","","million cubic metres"
"Belarus","2014","483.5","","million cubic metres"
"Belarus","2013","485.0","","million cubic metres"
"Belarus","2012","476.9","","million cubic metres"
"Belarus","2011","445.3","","million cubic metres"
"Belarus","2010","507.3","","million cubic metres"
"Belarus","2009","507.2","","million cubic metres"
"Belarus","2008","575.0","","million cubic metres"
"Belarus","2007","648.5","","million cubic metres"
