"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","13856.0","1","million cubic metres"
"Albania","2016","16964.0","1","million cubic metres"
"Albania","2015","13412.0","1","million cubic metres"
"Albania","2014","16727.0","1","million cubic metres"
"Albania","2013","13164.0","1","million cubic metres"
"Andorra","2019","184.9","","million cubic metres"
"Andorra","2018","203.0","","million cubic metres"
"Andorra","2017","199.3","","million cubic metres"
"Andorra","2016","176.3","","million cubic metres"
"Andorra","2015","223.7","","million cubic metres"
"Andorra","2014","221.3","","million cubic metres"
"Andorra","2013","169.2","","million cubic metres"
"Andorra","2012","154.4","","million cubic metres"
"Andorra","2011","192.6","","million cubic metres"
"Andorra","2010","163.6","","million cubic metres"
"Andorra","2009","197.2","","million cubic metres"
"Andorra","2008","171.1","","million cubic metres"
"Andorra","2007","180.1","","million cubic metres"
"Andorra","2006","196.3","","million cubic metres"
"Andorra","2005","173.4","","million cubic metres"
"Andorra","2004","176.5","","million cubic metres"
"Andorra","2003","191.0","","million cubic metres"
"Andorra","2002","190.6","","million cubic metres"
"Andorra","2001","185.5","","million cubic metres"
"Andorra","2000","191.3","","million cubic metres"
"Andorra","1999","185.8","","million cubic metres"
"Andorra","1998","179.8","","million cubic metres"
"Andorra","1997","193.2","","million cubic metres"
"Andorra","1996","182.1","","million cubic metres"
"Andorra","1995","182.7","","million cubic metres"
"Andorra","1990","188.0","","million cubic metres"
"Andorra","0","180.8","","million cubic metres"
"Armenia","2021","10146.0","","million cubic metres"
"Armenia","2020","11261.0","","million cubic metres"
"Armenia","2019","10285.0","","million cubic metres"
"Armenia","2018","12120.0","","million cubic metres"
"Armenia","2017","10382.0","","million cubic metres"
"Armenia","2016","12928.0","","million cubic metres"
"Armenia","2015","12827.0","","million cubic metres"
"Armenia","2014","11432.0","","million cubic metres"
"Armenia","2013","10773.0","","million cubic metres"
"Armenia","2012","10816.0","","million cubic metres"
"Armenia","2011","11066.0","","million cubic metres"
"Armenia","2010","12549.0","","million cubic metres"
"Armenia","2009","10674.0","","million cubic metres"
"Armenia","2008","9840.0","","million cubic metres"
"Armenia","2007","11367.0","","million cubic metres"
"Armenia","2006","11081.0","","million cubic metres"
"Armenia","2005","11320.0","","million cubic metres"
"Armenia","2004","10531.0","","million cubic metres"
"Armenia","2003","10997.0","","million cubic metres"
"Armenia","2002","10930.0","","million cubic metres"
"Armenia","2001","9750.0","","million cubic metres"
"Armenia","2000","9032.0","","million cubic metres"
"Armenia","1999","10400.0","","million cubic metres"
"Armenia","1998","10366.0","","million cubic metres"
"Armenia","1997","11346.0","","million cubic metres"
"Armenia","1996","10980.0","","million cubic metres"
"Armenia","1995","10526.0","","million cubic metres"
"Armenia","1990","10426.0","","million cubic metres"
"Armenia","0","11323.0","","million cubic metres"
"Australia","0","3177.0","","million cubic metres"
"Austria","0","43100.0","","million cubic metres"
"Azerbaijan","2021","27936.0","","million cubic metres"
"Azerbaijan","2020","33168.0","","million cubic metres"
"Azerbaijan","2019","29042.0","","million cubic metres"
"Azerbaijan","2018","32956.0","","million cubic metres"
"Azerbaijan","2017","29472.0","","million cubic metres"
"Azerbaijan","2016","38991.0","","million cubic metres"
"Azerbaijan","2015","36777.0","","million cubic metres"
"Azerbaijan","2014","29610.0","","million cubic metres"
"Azerbaijan","2013","34860.0","","million cubic metres"
"Azerbaijan","2012","34596.0","","million cubic metres"
